일자,요일,훈련시간,교과목
23-4-21,금,14:00~14:50,머신러닝 딥러닝 활용 프로젝트
23-4-21,금,15:00~15:50,머신러닝 딥러닝 활용 프로젝트
23-4-24,월,09:10~10:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-24,월,10:10~11:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-24,월,11:10~12:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-24,월,12:10~13:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-24,월,14:00~14:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-24,월,15:00~15:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-25,화,09:10~10:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-25,화,10:10~11:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-25,화,11:10~12:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-25,화,12:10~13:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-25,화,14:00~14:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-25,화,15:00~15:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-25,화,16:00~16:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-26,수,09:10~10:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-26,수,10:10~11:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-26,수,11:10~12:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-26,수,12:10~13:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-26,수,14:00~14:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-26,수,15:00~15:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-4-27,목,09:10~10:00,머신러닝 딥러닝 활용 프로젝트
23-4-27,목,10:10~11:00,머신러닝 딥러닝 활용 프로젝트
23-4-27,목,11:10~12:00,머신러닝 딥러닝 활용 프로젝트
23-4-27,목,12:10~13:00,머신러닝 딥러닝 활용 프로젝트
23-4-27,목,14:00~14:50,머신러닝 딥러닝 활용 프로젝트
23-4-27,목,15:00~15:50,머신러닝 딥러닝 활용 프로젝트
23-4-27,목,16:00~16:50,머신러닝 딥러닝 활용 프로젝트
23-4-28,금,09:10~10:00,머신러닝 딥러닝 활용 프로젝트
23-4-28,금,10:10~11:00,머신러닝 딥러닝 활용 프로젝트
23-4-28,금,11:10~12:00,머신러닝 딥러닝 활용 프로젝트
23-4-28,금,12:10~13:00,머신러닝 딥러닝 활용 프로젝트
23-4-28,금,14:00~14:50,머신러닝 딥러닝 활용 프로젝트
23-4-28,금,15:00~15:50,머신러닝 딥러닝 활용 프로젝트
23-5-1,월,09:10~10:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-1,월,10:10~11:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-1,월,11:10~12:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-1,월,12:10~13:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-1,월,14:00~14:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-1,월,15:00~15:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-2,화,09:10~10:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-2,화,10:10~11:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-2,화,11:10~12:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-2,화,12:10~13:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-2,화,14:00~14:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-2,화,15:00~15:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-2,화,16:00~16:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-3,수,09:10~10:00,머신러닝 딥러닝 활용 프로젝트
23-5-3,수,10:10~11:00,머신러닝 딥러닝 활용 프로젝트
23-5-3,수,11:10~12:00,머신러닝 딥러닝 활용 프로젝트
23-5-3,수,12:10~13:00,머신러닝 딥러닝 활용 프로젝트
23-5-3,수,14:00~14:50,머신러닝 딥러닝 활용 프로젝트
23-5-3,수,15:00~15:50,머신러닝 딥러닝 활용 프로젝트
23-5-4,목,09:10~10:00,머신러닝 딥러닝 활용 프로젝트
23-5-4,목,10:10~11:00,머신러닝 딥러닝 활용 프로젝트
23-5-4,목,11:10~12:00,머신러닝 딥러닝 활용 프로젝트
23-5-4,목,12:10~13:00,머신러닝 딥러닝 활용 프로젝트
23-5-4,목,14:00~14:50,머신러닝 딥러닝 활용 프로젝트
23-5-4,목,15:00~15:50,머신러닝 딥러닝 활용 프로젝트
23-5-4,목,16:00~16:50,머신러닝 딥러닝 활용 프로젝트
23-5-8,월,09:10~10:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-8,월,10:10~11:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-8,월,11:10~12:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-8,월,12:10~13:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-8,월,14:00~14:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-8,월,15:00~15:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-9,화,09:10~10:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-9,화,10:10~11:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-9,화,11:10~12:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-9,화,12:10~13:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-9,화,14:00~14:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-9,화,15:00~15:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-9,화,16:00~16:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-10,수,09:10~10:00,머신러닝 딥러닝 활용 프로젝트
23-5-10,수,10:10~11:00,머신러닝 딥러닝 활용 프로젝트
23-5-10,수,11:10~12:00,머신러닝 딥러닝 활용 프로젝트
23-5-10,수,12:10~13:00,머신러닝 딥러닝 활용 프로젝트
23-5-10,수,14:00~14:50,머신러닝 딥러닝 활용 프로젝트
23-5-10,수,15:00~15:50,머신러닝 딥러닝 활용 프로젝트
23-5-11,목,09:10~10:00,머신러닝 딥러닝 활용 프로젝트
23-5-11,목,10:10~11:00,머신러닝 딥러닝 활용 프로젝트
23-5-11,목,11:10~12:00,머신러닝 딥러닝 활용 프로젝트
23-5-11,목,12:10~13:00,머신러닝 딥러닝 활용 프로젝트
23-5-11,목,14:00~14:50,머신러닝 딥러닝 활용 프로젝트
23-5-11,목,15:00~15:50,머신러닝 딥러닝 활용 프로젝트
23-5-11,목,16:00~16:50,머신러닝 딥러닝 활용 프로젝트
23-5-12,금,09:10~10:00,머신러닝 딥러닝 활용 프로젝트
23-5-12,금,10:10~11:00,머신러닝 딥러닝 활용 프로젝트
23-5-12,금,11:10~12:00,머신러닝 딥러닝 활용 프로젝트
23-5-12,금,12:10~13:00,머신러닝 딥러닝 활용 프로젝트
23-5-12,금,14:00~14:50,머신러닝 딥러닝 활용 프로젝트
23-5-12,금,15:00~15:50,머신러닝 딥러닝 활용 프로젝트
23-5-15,월,09:10~10:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-15,월,10:10~11:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-15,월,11:10~12:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-15,월,12:10~13:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-15,월,14:00~14:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-15,월,15:00~15:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-16,화,09:10~10:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-16,화,10:10~11:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-16,화,11:10~12:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-16,화,12:10~13:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-16,화,14:00~14:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-16,화,15:00~15:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-16,화,16:00~16:50,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-17,수,09:10~10:00,머신러닝 딥러닝 활용 프로젝트
23-5-17,수,10:10~11:00,머신러닝 딥러닝 활용 프로젝트
23-5-17,수,11:10~12:00,머신러닝 딥러닝 활용 프로젝트
23-5-17,수,12:10~13:00,머신러닝 딥러닝 활용 프로젝트
23-5-17,수,14:00~14:50,재량교과
23-5-17,수,15:00~15:50,재량교과
23-5-18,목,09:10~10:00,머신러닝 딥러닝 활용 프로젝트
23-5-18,목,10:10~11:00,머신러닝 딥러닝 활용 프로젝트
23-5-18,목,11:10~12:00,머신러닝 딥러닝 활용 프로젝트
23-5-18,목,12:10~13:00,머신러닝 딥러닝 활용 프로젝트
23-5-18,목,14:00~14:50,머신러닝 딥러닝 활용 프로젝트
23-5-18,목,15:00~15:50,머신러닝 딥러닝 활용 프로젝트
23-5-18,목,16:00~16:50,머신러닝 딥러닝 활용 프로젝트
23-5-19,금,09:10~10:00,머신러닝 딥러닝 활용 프로젝트
23-5-19,금,10:10~11:00,머신러닝 딥러닝 활용 프로젝트
23-5-19,금,11:10~12:00,머신러닝 딥러닝 활용 프로젝트
23-5-19,금,12:10~13:00,머신러닝 딥러닝 활용 프로젝트
23-5-19,금,14:00~14:50,머신러닝 딥러닝 활용 프로젝트
23-5-19,금,15:00~15:50,머신러닝 딥러닝 활용 프로젝트
23-5-22,월,09:10~10:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-22,월,10:10~11:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-22,월,11:10~12:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-22,월,12:10~13:00,파이썬과 CNN을 활용한 졸음방지 솔루션 개발 프로젝트
23-5-22,월,14:00~14:50,머신러닝 딥러닝 활용 프로젝트
23-5-22,월,15:00~15:50,머신러닝 딥러닝 활용 프로젝트
23-5-23,화,09:10~10:00,머신러닝 딥러닝 활용 프로젝트
23-5-23,화,10:10~11:00,머신러닝 딥러닝 활용 프로젝트
23-5-23,화,11:10~12:00,머신러닝 딥러닝 활용 프로젝트
23-5-23,화,12:10~13:00,머신러닝 딥러닝 활용 프로젝트
23-5-23,화,14:00~14:50,머신러닝 딥러닝 활용 프로젝트
23-5-23,화,15:00~15:50,머신러닝 딥러닝 활용 프로젝트
23-5-24,수,09:10~10:00,머신러닝 딥러닝 활용 프로젝트
23-5-24,수,10:10~11:00,머신러닝 딥러닝 활용 프로젝트
23-5-24,수,11:10~12:00,머신러닝 딥러닝 활용 프로젝트
23-5-24,수,12:10~13:00,머신러닝 딥러닝 활용 프로젝트
23-5-24,수,14:00~14:50,재량교과
